state,population,FIPS
Alaska,738068,2
Alabama,4888949,1
Arkansas,3020327,5
Arizona,7123898,4
California,39776830,6
Colorado,5684203,8
Connecticut,3588683,9
District of Columbia,703608,#N/A
Delaware,971180,10
Florida,21312211,12
Georgia,10545138,13
Hawaii,1426393,15
Idaho,1753860,16
Illinois,12768320,17
Indiana,6699629,18
Iowa,3160553,19
Kansas,2918515,20
Kentucky,4472265,21
Louisiana,4682509,22
Massachusetts,6895917,25
Maryland,6079602,24
Maine,1341582,23
Michigan,9991177,26
Minnesota,5628162,27
Missouri,6135888,29
Mississippi,2982785,28
Montana,1062330,30
North Carolina,10390149,37
North Dakota,755238,38
Nebraska,1932549,31
New Hampshire,1350575,33
New Jersey,9032872,34
New Mexico,2090708,35
Nevada,3056824,32
New York,19862512,36
Ohio,11694664,39
Oklahoma,3940521,40
Oregon,4199563,41
Pennsylvania,12823989,42
Rhode Island,1061712,44
South Carolina,5088916,45
South Dakota,877790,46
Tennessee,6782564,47
Texas,28704330,48
Utah,3159345,49
Virginia,8525660,51
Vermont,623960,50
Washington,7530552,53
Wisconsin,5818049,55
West Virginia,1803077,54
Wyoming,573720,56
